sample_prefix	LIBRARY
18c_71	Library2
18c_73	Library2
18c_78	Library2
18c_79	Library2
18c_81	Library2
18c_84	Library2
18c_86	Library2
18c_88	Library2
18c_91	Library2
18c_94	Library2
18c_95	Library2
18c_97	Library2
18c_98	Library2
19b_01	Library4
19b_02	Library4
19b_06	Library4
19b_09	Library4
19b_13	Library4
19b_19	Library4
19b_21	Library4
19b_26	Library4
19b_30	Library4
19b_32	Library4
19b_33	Library4
19b_34	Library4
19b_35	Library4
19b_36	Library4
19b_39	Library4
19b_40	Library4
19b_43	Library4
19b_46	Library4
19b_47	Library4
19b_50	Library4
19cd_02	Library4
19cd_07	Library4
19cd_09	Library4
19cd_10	Library4
19cd_11	Library4
19cd_12	Library4
19cd_13	Library4
19cd_21	Library4
19cd_25	Library4
19cd_27	Library4
19cd_28	Library4
19cd_30	Library4
19cd_31	Library4
19cd_34	Library4
19cd_35	Library4
19cd_38	Library4
19cd_39	Library4
19cd_40	Library4
19cd_41	Library4
19cd_48	Library4
23p_45	Library5
23p_46	Library5
23p_47	Library5
23p_60	Library5
23p_61	Library5
23p_62	Library5
23p_69	Library5
23p_70	Library5
23p_75	Library5
23p_76	Library5
23p_78	Library5
23p_80	Library5
23p_81	Library5
23p_85	Library5
23p_87	Library5
23p_92	Library5
23p_93	Library5
23p_94	Library5
23p_95	Library5
23p_96	Library5
25c_02	Library4
25c_11	Library4
25c_22	Library4
25c_24	Library4
25c_27	Library4
25c_29	Library4
25c_30	Library4
25c_32	Library4
25c_35	Library4
25c_39	Library4
25c_40	Library4
25c_55	Library4
25c_57	Library4
25c_60	Library4
25c_64	Library4
25c_72	Library4
25c_77	Library4
25c_78	Library4
25c_82	Library4
25c_93	Library4
26b_07	Library4
26b_09	Library4
26b_10	Library4
26b_16	Library4
26b_18	Library4
26b_19	Library4
26b_20	Library4
26b_23	Library4
26b_24	Library4
26b_25	Library4
26b_28	Library4
26b_31	Library4
26b_36	Library4
26b_41	Library4
26b_42	Library4
26b_43	Library4
26b_44	Library4
26b_45	Library4
26b_47	Library4
26b_49	Library4
27a_01	Library2
27a_04	Library2
27a_08	Library2
27a_09	Library2
27a_12	Library2
27a_15	Library2
27a_16	Library2
27a_23	Library2
27a_24	Library2
27a_26	Library2
27a_27	Library2
27a_28	Library2
27a_32	Library2
27a_37	Library2
27a_39	Library2
27a_41	Library2
27a_45	Library2
27a_47	Library2
27a_48	Library2
27a_50	Library2
27b_01	Library4
27b_04	Library4
27b_06	Library4
27b_10	Library4
27b_11	Library4
27b_14	Library4
27b_15	Library4
27b_16	Library4
27b_19	Library4
27b_20	Library4
27b_21	Library4
27b_22	Library4
27b_35	Library4
27b_37	Library4
27b_40	Library4
