sample_prefix	LIBRARY
01b_06	Library2
01b_10	Library2
01b_14	Library2
01b_16	Library2
01b_17	Library2
01b_18	Library2
01b_20	Library2
01b_23	Library2
01b_24	Library2
01b_28	Library2
01b_31	Library2
01b_32	Library2
01b_33	Library2
01b_36	Library2
01b_39	Library2
01b_41	Library2
01b_42	Library2
01b_43	Library2
01b_45	Library2
01b_47	Library2
05abc_04	Library4
05abc_05	Library4
05abc_06	Library4
05abc_08	Library4
05abc_09	Library4
05abc_10	Library4
05abc_12	Library4
05abc_13	Library4
05abc_16	Library4
05abc_18	Library4
05abc_19	Library4
05abc_21	Library4
05abc_29	Library4
05abc_30	Library4
05abc_31	Library4
05abc_32	Library4
05abc_34	Library4
05abc_39	Library4
05abc_41	Library4
05abc_46	Library4
06a_01	Library2
06a_02	Library2
06a_10	Library2
06a_12	Library2
06a_14	Library2
06a_20	Library2
06a_21	Library2
06a_22	Library2
06a_24	Library2
06a_26	Library2
06a_27	Library2
06a_28	Library2
06a_30	Library2
06a_34	Library2
06a_35	Library2
06a_41	Library2
06a_43	Library2
06a_45	Library2
06a_49	Library2
06a_50	Library2
07a_04	Library2
07a_08	Library2
07a_09	Library2
07a_13	Library2
07a_14	Library2
07a_16	Library2
07a_19	Library2
07a_21	Library2
07a_22	Library2
07a_23	Library2
07a_26	Library2
07a_27	Library2
07a_28	Library2
07a_34	Library2
07a_35	Library2
07a_36	Library2
07a_41	Library2
07a_43	Library2
07a_45	Library2
07a_49	Library2
10a_01	Library5
10a_02	Library5
10a_03	Library5
10a_04	Library5
10a_07	Library5
10a_08	Library5
10a_11	Library5
10a_12	Library5
10a_14	Library5
10a_20	Library5
10a_22	Library5
10a_23	Library5
10a_28	Library5
10a_31	Library5
10a_33	Library5
10a_34	Library5
10a_37	Library5
10a_40	Library5
10a_41	Library5
10a_48	Library5
10bc_02	Library3
10bc_06	Library3
10bc_08	Library3
10bc_10	Library3
10bc_14	Library3
10bc_16	Library3
10bc_19	Library3
10bc_22	Library3
10bc_25	Library3
10bc_28	Library3
10bc_29	Library3
10bc_32	Library3
10bc_37	Library3
10bc_40	Library3
10bc_41	Library3
10bc_45	Library3
10bc_47	Library3
10bc_49	Library3
10bc_50	Library3
10bc_57	Library3
11ab_03	Library5
11ab_04	Library5
11ab_05	Library5
11ab_07	Library5
11ab_10	Library5
11ab_12	Library5
11ab_16	Library5
11ab_17	Library5
11ab_19	Library5
11ab_20	Library5
11ab_21	Library5
11ab_26	Library5
11ab_41	Library5
11ab_48	Library5
11ab_49	Library5
12m_02	Library2
12m_04	Library2
12m_05	Library2
12m_07	Library2
12m_09	Library2
12m_13	Library2
12m_17	Library2
12m_18	Library2
12m_19	Library2
12m_22	Library2
12m_25	Library2
12m_26	Library2
12m_27	Library2
12m_29	Library2
12m_31	Library2
12m_32	Library2
12m_36	Library2
12m_39	Library2
12m_42	Library2
12m_47	Library2
14a_06	Library5
14a_08	Library5
14a_10	Library5
14a_13	Library5
14a_16	Library5
14a_18	Library5
14a_19	Library5
14a_22	Library5
14a_23	Library5
14a_24	Library5
14a_25	Library5
14a_27	Library5
14a_28	Library5
14a_30	Library5
14a_37	Library5
14a_44	Library5
14a_45	Library5
14a_47	Library5
14a_49	Library5
14a_50	Library5
18b_04	Library5
18b_06	Library5
18b_07	Library5
18b_11	Library5
18b_12	Library5
18b_13	Library5
18b_16	Library5
18b_17	Library5
18b_18	Library5
18b_19	Library5
18b_20	Library5
18b_22	Library5
18b_24	Library5
18b_30	Library5
18b_37	Library5
18b_42	Library5
18b_45	Library5
18b_46	Library5
18b_48	Library5
18b_49	Library5
18c_55	Library2
18c_56	Library2
18c_60	Library2
18c_63	Library2
18c_66	Library2
18c_68	Library2
18c_70	Library2
